team_name,matchId,player_name,drop_x,drop_y,pickup_x,pickup_y,pickup_delay,possession_duration,possession_events,opponent_event_type,pickup_in_attacking_half,travel_distance,pickup_zone,drop_zone,risk_label,risk_score
Jönköpings Södra,5819279,A. Kiwarkis,100.0,100.0,90.0,21.0,0.0,14.1693095,9,interception,True,79.63039620647382,left attacking third,right attacking third,High risk,8.794455943097107
Jönköpings Södra,5819169,A. Kiwarkis,100.0,100.0,99.0,22.0,1.0,13.001374,10,interception,True,78.00640999302557,left attacking third,right attacking third,High risk,8.630096149895383
Jönköpings Södra,5819121,A. Kiwarkis,100.0,100.0,96.0,16.0,1.0,26.9771555,15,interception,True,84.09518416651456,left attacking third,right attacking third,High risk,8.601427762497718
Jönköpings Södra,5819327,J. Drott,100.0,100.0,84.0,19.0,0.0,24.7923425,13,interception,True,82.56512580987206,left attacking third,right attacking third,High risk,8.598476887148081
Jönköpings Södra,5819169,O. Almström,100.0,100.0,92.0,16.0,2.0,21.9369145,11,interception,True,84.38009243891595,left attacking third,right attacking third,High risk,7.945701386583739
Jönköpings Södra,5819343,D. Kozica,90.0,25.0,96.0,46.0,1.0,15.637224,6,touch,True,21.840329667841555,central attacking third,left attacking third,High risk,7.667604945017623
Jönköpings Södra,5819169,J. Shamoun,100.0,100.0,94.0,81.0,1.0,10.507303,8,interception,True,19.924858845171276,right attacking third,right attacking third,High risk,7.558872882677569
Jönköpings Södra,5819228,J. Shamoun,96.0,74.0,99.0,72.0,1.0,25.1551075,14,interception,True,3.605551275463989,right attacking third,right attacking third,High risk,7.51408326913196
Jönköpings Södra,5819246,A. Bark,100.0,100.0,92.0,82.0,1.0,34.7051165,14,interception,True,19.697715603592208,right attacking third,right attacking third,High risk,7.475465734053882
Jönköpings Södra,5819179,J. Shamoun,100.0,64.0,94.0,53.0,1.0,9.5391525,8,interception,True,12.529964086141668,central attacking third,central attacking third,High risk,7.447949461292125
Jönköpings Södra,5819082,O. Almström,96.0,7.0,97.0,11.0,1.0,12.7900005,7,interception,True,4.123105625617661,left attacking third,left attacking third,High risk,7.4418465843842645
Jönköpings Södra,5819103,J. Shamoun,100.0,100.0,92.0,85.0,1.0,19.3070065,11,interception,True,17.0,right attacking third,right attacking third,High risk,7.435
Jönköpings Södra,5819202,F. Benatallah,96.0,82.0,97.0,79.0,1.0,9.760276,6,interception,True,3.1622776601683795,right attacking third,right attacking third,High risk,7.427434164902525
Jönköpings Södra,5819202,J. Shamoun,95.0,74.0,96.0,69.0,1.0,8.0178795,8,interception,True,5.0990195135927845,right attacking third,right attacking third,High risk,7.416485292703892
Jönköpings Södra,5819082,O. Almström,96.0,28.0,93.0,39.0,1.0,31.41558,17,interception,True,11.40175425099138,central attacking third,left attacking third,High risk,7.391026313764871
